Dataset Mode,Feature,Value,Count,Percent
gdsc_metadata_only,GDSC Tissue descriptor 2,ovary,10434,4.310946763897784
gdsc_metadata_only,GDSC Tissue descriptor 2,head and neck,9457,3.9072861363026004
gdsc_metadata_only,GDSC Tissue descriptor 2,Missing,9366,3.8696882682256697
gdsc_metadata_only,GDSC Tissue descriptor 2,oesophagus,9126,3.770529055715083
gdsc_metadata_only,GDSC Tissue descriptor 2,B_cell_lymphoma,7978,3.2962174892061067
gdsc_metadata_only,GDSC Tissue descriptor 2,kidney,7741,3.1982977668519013
gdsc_metadata_only,GDSC Tissue descriptor 2,pancreas,7617,3.1470655070547653
gdsc_metadata_only,GDSC Tissue descriptor 2,neuroblastoma,7469,3.085917326006569
gdsc_metadata_only,GDSC Tissue descriptor 2,stomach,5998,2.478153985993761
gdsc_metadata_only,GDSC Tissue descriptor 2,acute_myeloid_leukaemia,5752,2.3765157931704093
gdsc_metadata_only,GDSC Tissue descriptor 2,ewings_sarcoma,5616,2.320325572747743
gdsc_metadata_only,GDSC Tissue descriptor 2,Bladder,4266,1.7625550023756895
gdsc_metadata_only,GDSC Tissue descriptor 2,cervix,4079,1.6852934492945237
gdsc_metadata_only,GDSC Tissue descriptor 2,liver,3909,1.6150556737661907
gdsc_metadata_only,GDSC Tissue descriptor 2,lung_NSCLC_squamous_cell_carcinoma,3863,1.596050158034995
gdsc_metadata_only,GDSC Tissue descriptor 2,lung_NSCLC_large cell,3808,1.573326171834652
gdsc_metadata_only,GDSC Tissue descriptor 2,thyroid,3759,1.5530811659470738
gdsc_metadata_only,GDSC Tissue descriptor 2,Burkitt_lymphoma,3590,1.4832565538042017
gdsc_metadata_only,GDSC Tissue descriptor 2,myeloma,3497,1.4448323589563492
gdsc_metadata_only,GDSC Tissue descriptor 2,B_cell_leukemia,3196,1.3204701799326544
gdsc_metadata_only,GDSC Tissue descriptor 2,endometrium,3070,1.268411593364596
gdsc_metadata_only,GDSC Tissue descriptor 2,lymphoblastic_leukemia,3064,1.2659326130518314
gdsc_metadata_only,GDSC Tissue descriptor 2,chronic_myeloid_leukaemia,2611,1.078769599438098
gdsc_metadata_only,GDSC Tissue descriptor 2,lymphoid_neoplasm other,2535,1.0473691821430784
gdsc_metadata_only,GDSC Tissue descriptor 2,osteosarcoma,2529,1.044890201830314
gdsc_metadata_only,GDSC Tissue descriptor 2,soft_tissue_other,2303,0.9515152767161774
gdsc_metadata_only,GDSC Tissue descriptor 2,lymphoblastic_T_cell_leukaemia,2272,0.9387072117668932
gdsc_metadata_only,GDSC Tissue descriptor 2,Hodgkin_lymphoma,2231,0.9217675129630012
gdsc_metadata_only,GDSC Tissue descriptor 2,lung_NSCLC_not specified,2203,0.9101989381700993
gdsc_metadata_only,GDSC Tissue descriptor 2,rhabdomyosarcoma,2146,0.8866486251988348
gdsc_metadata_only,GDSC Tissue descriptor 2,prostate,2134,0.8816906645733055
gdsc_metadata_only,GDSC Tissue descriptor 2,mesothelioma,1568,0.6478401884025038
